HUC12,VALUE_1,VALUE_2,VALUE_3,VALUE_4,VALUE_5
031300110704,5880000.0,800000.0,4600000.0,1360000.0,1480000.0
031300110706,0.0,120000.0,0.0,3960000.0,1160000.0
031300110804,0.0,2400000.0,2200000.0,1920000.0,1560000.0
031300130504,0.0,0.0,1040000.0,0.0,0.0
031300130305,0.0,0.0,0.0,1960000.0,2920000.0
031401010704,1320000.0,1680000.0,80000.0,640000.0,5360000.0
031300130503,0.0,40000.0,3760000.0,280000.0,6160000.0
031300130403,0.0,120000.0,7280000.0,760000.0,3240000.0
031200031204,0.0,0.0,1120000.0,0.0,0.0
030802010601,2120000.0,4320000.0,0.0,0.0,0.0
030801031605,7320000.0,0.0,0.0,0.0,0.0
030801031606,1280000.0,0.0,0.0,720000.0,0.0
030702050304,1680000.0,1520000.0,440000.0,4080000.0,2920000.0
030702040906,3840000.0,120000.0,0.0,0.0,1280000.0
030702030503,0.0,3040000.0,0.0,10320000.0,4440000.0
030702030502,0.0,2800000.0,920000.0,0.0,0.0
030701060502,1440000.0,1720000.0,2040000.0,520000.0,7520000.0
030602040602,0.0,1480000.0,1280000.0,0.0,0.0
030602040601,2240000.0,400000.0,0.0,0.0,2760000.0
030601100306,480000.0,960000.0,0.0,0.0,0.0
030601100202,280000.0,40000.0,0.0,0.0,0.0
030601100302,0.0,600000.0,0.0,0.0,360000.0
030601100305,0.0,4920000.0,0.0,0.0,920000.0
030502080609,0.0,0.0,40000.0,0.0,0.0
030601100304,0.0,520000.0,0.0,0.0,0.0
030502100104,240000.0,1120000.0,3240000.0,0.0,0.0
030502100102,120000.0,1240000.0,1960000.0,0.0,1480000.0
030502080503,0.0,0.0,40000.0,0.0,0.0
030502100103,0.0,400000.0,0.0,40000.0,1520000.0
030502100101,0.0,0.0,0.0,0.0,240000.0
030502071106,0.0,0.0,240000.0,0.0,0.0
030502060309,0.0,1360000.0,600000.0,560000.0,0.0
030502060406,0.0,600000.0,0.0,160000.0,80000.0
030502071003,0.0,0.0,80000.0,0.0,0.0
030502060308,0.0,920000.0,80000.0,800000.0,840000.0
030502020207,0.0,1160000.0,3720000.0,1400000.0,1080000.0
030502020203,0.0,40000.0,200000.0,120000.0,80000.0
030502060405,0.0,520000.0,160000.0,160000.0,640000.0
030502020206,0.0,520000.0,1760000.0,0.0,40000.0
030502020204,0.0,0.0,720000.0,0.0,840000.0
030502020205,0.0,160000.0,800000.0,0.0,120000.0
030502010708,0.0,920000.0,1160000.0,400000.0,0.0
030502090207,1800000.0,880000.0,1520000.0,0.0,560000.0
030502090204,0.0,400000.0,120000.0,0.0,400000.0
030502010707,0.0,560000.0,1160000.0,720000.0,0.0
030502090206,80000.0,1280000.0,3040000.0,760000.0,0.0
030502090203,760000.0,40000.0,720000.0,760000.0,0.0
030502090205,0.0,800000.0,360000.0,0.0,0.0
030502090102,0.0,1120000.0,480000.0,2080000.0,2760000.0
030502090101,160000.0,360000.0,360000.0,2040000.0,3000000.0
030502090202,0.0,960000.0,400000.0,0.0,200000.0
030501120304,0.0,0.0,0.0,840000.0,0.0
030501120404,0.0,80000.0,0.0,160000.0,0.0
030501120303,0.0,0.0,0.0,1200000.0,0.0
030402070210,0.0,440000.0,720000.0,320000.0,0.0
030501120403,0.0,40000.0,0.0,120000.0,0.0
030402070209,0.0,1000000.0,0.0,1560000.0,0.0
030402070208,0.0,560000.0,1320000.0,800000.0,0.0
030402080404,0.0,1640000.0,0.0,1520000.0,960000.0
030402080402,0.0,880000.0,0.0,600000.0,440000.0
030402080403,200000.0,3240000.0,0.0,0.0,0.0
030402080401,80000.0,1160000.0,0.0,0.0,0.0
030402080310,40000.0,600000.0,0.0,640000.0,360000.0
030402080311,960000.0,0.0,0.0,0.0,0.0
030402080308,1040000.0,0.0,0.0,0.0,240000.0
030402080314,2880000.0,0.0,0.0,0.0,0.0
030402080307,1640000.0,0.0,0.0,0.0,0.0
030402080313,3520000.0,0.0,520000.0,0.0,0.0
030402080306,2720000.0,0.0,1000000.0,0.0,0.0
030402080312,0.0,480000.0,880000.0,0.0,0.0
030402080305,0.0,80000.0,1400000.0,0.0,0.0
030402080309,0.0,120000.0,840000.0,0.0,640000.0
030402080304,0.0,80000.0,600000.0,0.0,440000.0
030402080205,80000.0,560000.0,2720000.0,0.0,0.0
030300050804,240000.0,760000.0,1640000.0,0.0,0.0
030402080108,120000.0,2520000.0,1000000.0,0.0,0.0
030402080107,80000.0,1240000.0,880000.0,0.0,0.0
030402080204,0.0,520000.0,2320000.0,0.0,0.0
030300050802,0.0,800000.0,80000.0,0.0,0.0
030300050803,160000.0,1200000.0,1840000.0,480000.0,0.0
030402080317,120000.0,1760000.0,40000.0,960000.0,1640000.0
030402080316,1960000.0,0.0,0.0,0.0,0.0
030402080318,2240000.0,0.0,0.0,0.0,520000.0
030300050704,1200000.0,840000.0,0.0,400000.0,0.0
030203020501,2840000.0,400000.0,0.0,1480000.0,0.0
030203020502,0.0,1520000.0,200000.0,4200000.0,2520000.0
030203020401,0.0,560000.0,440000.0,1040000.0,2240000.0
030203020403,600000.0,1640000.0,0.0,1920000.0,3640000.0
030203020301,600000.0,1360000.0,0.0,4320000.0,320000.0
030203020302,0.0,760000.0,1640000.0,720000.0,880000.0
030203010302,0.0,2280000.0,640000.0,0.0,160000.0
030203010304,40000.0,1360000.0,1720000.0,560000.0,2520000.0
030203010303,520000.0,2280000.0,2440000.0,0.0,0.0
030203010703,0.0,2400000.0,0.0,10840000.0,1200000.0
030203010701,40000.0,1680000.0,2040000.0,0.0,0.0
030203010702,120000.0,560000.0,1160000.0,0.0,680000.0
030203010704,0.0,1200000.0,520000.0,2680000.0,1520000.0
030203010604,0.0,560000.0,440000.0,3560000.0,0.0
030203010602,0.0,320000.0,320000.0,1960000.0,0.0
030202040903,0.0,200000.0,0.0,1600000.0,0.0
030201050206,0.0,360000.0,0.0,2760000.0,2200000.0
030201050207,0.0,2160000.0,4600000.0,1320000.0,80000.0
030201050205,0.0,1680000.0,3400000.0,1960000.0,0.0
030203010605,40000.0,840000.0,80000.0,3360000.0,2480000.0
030203010606,0.0,1360000.0,0.0,5200000.0,1080000.0
030201050306,0.0,1000000.0,2920000.0,0.0,1720000.0
030201050305,0.0,2360000.0,4080000.0,1360000.0,1600000.0
030201050304,1120000.0,2000000.0,4640000.0,920000.0,4320000.0
030102051505,1280000.0,4680000.0,4800000.0,3200000.0,3000000.0
030102051507,640000.0,1200000.0,0.0,1240000.0,1280000.0
030102051502,3240000.0,2880000.0,0.0,0.0,0.0
030102051404,4280000.0,0.0,0.0,0.0,0.0
030102051403,4760000.0,0.0,0.0,0.0,760000.0
030102051306,10320000.0,40000.0,0.0,0.0,0.0
030102051305,7720000.0,40000.0,0.0,0.0,0.0
030102051304,4760000.0,0.0,0.0,0.0,0.0
030102051303,8720000.0,0.0,0.0,0.0,0.0
030102051302,2720000.0,0.0,0.0,0.0,0.0
030102051301,3720000.0,0.0,0.0,0.0,0.0
030602040606,0.0,280000.0,0.0,440000.0,1160000.0
030602040604,0.0,1440000.0,3560000.0,3160000.0,0.0
030602040603,0.0,400000.0,1560000.0,680000.0,2800000.0
030602040605,0.0,1200000.0,0.0,120000.0,4680000.0
030601090503,840000.0,0.0,0.0,0.0,0.0
030601090501,120000.0,0.0,0.0,0.0,0.0
