HUC12,VALUE_0,VALUE_1
031101010504,67960000.0,54800000.0
031101010503,156600000.0,27440000.0
031102050804,91520000.0,1720000.0
031102050805,61480000.0,54200000.0
031101020903,101160000.0,38440000.0
031102050803,116840000.0,0.0
031102050802,119440000.0,0.0
031102050704,134960000.0,0.0
031101020906,105080000.0,65080000.0
031300110704,183320000.0,25640000.0
031101020905,159000000.0,33600000.0
031102050703,64920000.0,0.0
031300110706,28360000.0,102840000.0
031101020904,66760000.0,24240000.0
031102050702,78200000.0,0.0
031101020804,43000000.0,6600000.0
031101010201,76760000.0,77880000.0
031300110703,63240000.0,15000000.0
031300110705,39600000.0,72360000.0
031300110804,74840000.0,92840000.0
031300130504,84120000.0,27080000.0
031101020902,161920000.0,1200000.0
031102050701,172800000.0,0.0
031101020805,75000000.0,4440000.0
031300110702,38800000.0,24360000.0
031101020901,93440000.0,40680000.0
031101020506,8440000.0,67960000.0
031300130305,104040000.0,6400000.0
031102050604,140480000.0,8680000.0
031401010704,197200000.0,0.0
031300130402,51120000.0,0.0
031300130503,65440000.0,26680000.0
031300130502,14040000.0,60240000.0
031101020802,78360000.0,1560000.0
031101020803,82120000.0,38560000.0
031102050603,173640000.0,0.0
031300110701,110200000.0,0.0
031300130403,52480000.0,0.0
031300130304,103040000.0,3280000.0
031101020605,115400000.0,1320000.0
031300110803,56360000.0,128200000.0
031102050602,63200000.0,15280000.0
031101020505,49040000.0,73120000.0
031401010702,90160000.0,0.0
031200031203,60320000.0,22200000.0
031300130501,31560000.0,36200000.0
031300130401,76080000.0,1800000.0
031300110802,32880000.0,66920000.0
031200031204,85160000.0,11640000.0
031101020503,86600000.0,0.0
031102060701,73120000.0,0.0
031300130303,43840000.0,40320000.0
031102050601,115880000.0,26160000.0
031300130302,4040000.0,48040000.0
031401010703,175000000.0,0.0
031102060703,45560000.0,0.0
031300130203,7000000.0,64240000.0
031300120606,69680000.0,40200000.0
030801021101,66480000.0,0.0
031200031202,28640000.0,82760000.0
031102050504,148640000.0,0.0
031102050503,49440000.0,9520000.0
031101020703,40280000.0,51240000.0
031101020504,71480000.0,29080000.0
031300110605,6120000.0,69360000.0
031101020801,85360000.0,80360000.0
031102050501,56600000.0,14480000.0
031102060302,105880000.0,1400000.0
031300110801,21760000.0,100040000.0
031102060505,92360000.0,0.0
031102060504,123960000.0,0.0
031200031201,3720000.0,53560000.0
031101020501,88800000.0,68800000.0
031200030903,8360000.0,82200000.0
031300130202,0.0,92480000.0
031300130301,0.0,61480000.0
031200010903,80760000.0,1400000.0
031101020403,43640000.0,16440000.0
031300110604,9240000.0,124240000.0
031102050502,100760000.0,1200000.0
031200031101,31840000.0,56440000.0
031300130201,4400000.0,41440000.0
031200031102,44600000.0,52520000.0
031300120605,47320000.0,10120000.0
031101020701,84520000.0,0.0
031102060506,85360000.0,0.0
031102060704,149120000.0,0.0
030801030601,70520000.0,38000000.0
031101020602,54480000.0,52800000.0
031101020604,166680000.0,27720000.0
031101020603,113720000.0,17480000.0
031102060503,84240000.0,0.0
031200010902,45040000.0,30280000.0
031300120604,61920000.0,47680000.0
031102060101,187120000.0,0.0
031101020502,146160000.0,31280000.0
031401010701,37880000.0,45440000.0
031200031003,0.0,55640000.0
030801030502,101760000.0,0.0
031401010503,67240000.0,5840000.0
031300110603,41440000.0,87560000.0
031102060104,86600000.0,0.0
030801030603,112400000.0,41240000.0
031102050406,72960000.0,0.0
031200010901,75560000.0,440000.0
031300130102,1880000.0,48560000.0
031101020402,71320000.0,640000.0
031300130103,17880000.0,55480000.0
031200011102,10000000.0,87640000.0
031102050407,70400000.0,120000.0
031200030902,25120000.0,92160000.0
031102060405,119000000.0,0.0
031101020405,62120000.0,39960000.0
031101020601,94520000.0,33680000.0
031101020203,118400000.0,0.0
031200010803,20480000.0,42360000.0
